event_id_cnty,event_date,year,country,admin1,sub_event_type,fatalities,notes
KEN4,1997-01-25,1997,Kenya,Nakuru,Peaceful protest,0,Roman Catholic Church leaders protest the police killing of an Irish priest on Jan 22.
KEN11,1997-02-25,1997,Kenya,Nairobi,Peaceful protest,0,Third day of students protesting after death of fellow student leader.
KEN12,1997-02-26,1997,Kenya,Nairobi,Protest with intervention,0,Kenya Polytechnic students protested the death of a Nairobi student that occurred a few days prior. Police with clubs broke up the demonstration. No reports of injuries.
ETH4,1997-03-21,1997,Ethiopia,Addis Ababa,Excessive force against protesters,0,Students stage demonstration; security forces use violence and illegal detention towards the protesters
ETH5,1997-03-30,1997,Ethiopia,Addis Ababa,Peaceful protest,0,Opposition groups stage protest over land redistribution in Amhara regional state
KEN22,1997-04-14,1997,Kenya,Kitui,Protest with intervention,0,200 protesters in support of NARC MP Charity Nguilu gathered at her home in Kitui. Police fired tear gas to disperse the crowd.
KEN24,1997-04-18,1997,Kenya,Nairobi,Peaceful protest,0,Street hawkers gather at Nairobi city council offices in protest of confiscated goods and the arrest of a colleague.
KEN38,1997-07-03,1997,Kenya,Nairobi,Peaceful protest,0,Students protest in Nairobi over the expulsion of those not paying student fees.
KEN44,1997-07-07,1997,Kenya,Kiambu,Excessive force against protesters,1,"On 7 July 1997, a small boy was killed by the police during protests in Thika (Thika Town, Kiambu)."
KEN43,1997-07-07,1997,Kenya,Nairobi,Excessive force against protesters,3,"On 7 July 1997, police armed with batons forcefully break up an opposition protest in Nairobi's Uhuru Park (Nairobi - Westlands) and killed 3."
KEN46,1997-07-08,1997,Kenya,Nairobi,Excessive force against protesters,8,"The day following the breakup of a demonstration in Nairobi police fire live rounds into a small crowd of those lingering and kill eight, including one police officer through collateral damage."
KEN48,1997-07-11,1997,Kenya,Nakuru,Peaceful protest,0,University students protest killings by police in Nairobi.
KEN100,1997-10-10,1997,Kenya,Nairobi,Peaceful protest,0,Opposition supporters protest in a Nairobi Park.
KEN114,1997-11-20,1997,Kenya,Narok,Protest with intervention,0,"Women protest, calling for the release of Maasai members arrested in clashes between Maasai and Kisii militia. Police used tear gas."
KEN129,1997-12-06,1997,Kenya,Nairobi,Protest with intervention,0,Police fired tear gas to disperse nurses demonstration in Nairobi.
KEN131,1997-12-14,1997,Kenya,Kiambu,Peaceful protest,0,SDP supporters threatened to beat up KANU supporters before police intervened.
KEN172,1998-02-03,1998,Kenya,Nairobi,Peaceful protest,0,Opposition MPs demonstrate over politically motivated killings in Rift Valley
UGA112,1998-02-05,1998,Uganda,Kampala,Peaceful protest,0,Ugandan army veterans protest against demobilisation arrangements made by the government - 14 were arrested
KEN211,1998-05-09,1998,Kenya,Trans Nzoia,Peaceful protest,0,Demonstrators gather to discuss and protest violent cattle raids
KEN210,1998-05-09,1998,Kenya,Trans Nzoia,Protest with intervention,0,Police beat opposition MPs who had gathered with crowd to discuss cattle raiding
KEN217,1998-06-01,1998,Kenya,Nyeri,Peaceful protest,0,"4000 farmers affliated with Ndima Tea Factory protested, demanding last years bonus payment."
UGA232,1998-06-16,1998,Uganda,Kampala,Peaceful protest,0,65 Muslim women stormed Parliament House to protest the disappearance of their husbands
KEN219,1998-06-25,1998,Kenya,Nairobi,Peaceful protest,0,Protesters storm World Bank offices to protest banks policies.
KEN220,1998-07-01,1998,Kenya,Baringo,Peaceful protest,0,Angry residents block road to protest high death toll in traffic accidents
KEN221,1998-07-01,1998,Kenya,Nyeri,Peaceful protest,0,Tea farmers protest for bonus payment.
KEN223,1998-07-02,1998,Kenya,Nyeri,Peaceful protest,0,5000 tea farmers boycotted work in Nyeri.
KEN227,1998-07-15,1998,Kenya,Bomet,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN228,1998-07-15,1998,Kenya,Tharaka-Nithi,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN229,1998-07-15,1998,Kenya,Embu,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN231,1998-07-15,1998,Kenya,Kajiado,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN233,1998-07-15,1998,Kenya,Nandi,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN234,1998-07-15,1998,Kenya,Kericho,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN235,1998-07-15,1998,Kenya,Kiambu,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN236,1998-07-15,1998,Kenya,Trans Nzoia,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN237,1998-07-15,1998,Kenya,Kitui,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN239,1998-07-15,1998,Kenya,Samburu,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN241,1998-07-15,1998,Kenya,Taita Taveta,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN244,1998-07-15,1998,Kenya,Narok,Peaceful protest,0,Teachers protest over bill which would reduce their pay
KEN245,1998-07-15,1998,Kenya,Laikipia,Peaceful protest,0,Teachers protest over bill which would reduce their pay
