Country,Month,Year,Events
Kenya,January,1997,1
Kenya,February,1997,5
Kenya,March,1997,0
Kenya,April,1997,2
Kenya,May,1997,3
Kenya,June,1997,2
Kenya,July,1997,13
Kenya,August,1997,1
Kenya,September,1997,1
Kenya,October,1997,4
Kenya,November,1997,2
Kenya,December,1997,4
Kenya,January,1998,1
Kenya,February,1998,3
Kenya,March,1998,7
Kenya,April,1998,7
Kenya,May,1998,3
Kenya,June,1998,2
Kenya,July,1998,29
Kenya,August,1998,2
Kenya,September,1998,0
Kenya,October,1998,26
Kenya,November,1998,1
Kenya,December,1998,1
Kenya,January,1999,18
Kenya,February,1999,9
Kenya,March,1999,6
Kenya,April,1999,2
Kenya,May,1999,0
Kenya,June,1999,9
Kenya,July,1999,5
Kenya,August,1999,0
Kenya,September,1999,0
Kenya,October,1999,3
Kenya,November,1999,0
Kenya,December,1999,4
Kenya,January,2000,1
Kenya,February,2000,1
Kenya,March,2000,3
Kenya,April,2000,2
Kenya,May,2000,0
Kenya,June,2000,11
Kenya,July,2000,1
Kenya,August,2000,3
Kenya,September,2000,6
Kenya,October,2000,8
Kenya,November,2000,4
Kenya,December,2000,2
Kenya,January,2001,0
Kenya,February,2001,5
Kenya,March,2001,4
Kenya,April,2001,0
Kenya,May,2001,3
Kenya,June,2001,0
Kenya,July,2001,2
Kenya,August,2001,0
Kenya,September,2001,0
Kenya,October,2001,1
Kenya,November,2001,0
Kenya,December,2001,0
Kenya,January,2002,1
Kenya,February,2002,0
Kenya,March,2002,1
Kenya,April,2002,0
Kenya,May,2002,5
Kenya,June,2002,12
Kenya,July,2002,5
Kenya,August,2002,1
Kenya,September,2002,11
Kenya,October,2002,7
Kenya,November,2002,1
Kenya,December,2002,1
Kenya,January,2003,3
Kenya,February,2003,1
Kenya,March,2003,4
Kenya,April,2003,3
Kenya,May,2003,1
Kenya,June,2003,2
Kenya,July,2003,10
Kenya,August,2003,2
Kenya,September,2003,3
Kenya,October,2003,16
Kenya,November,2003,17
Kenya,December,2003,9
Kenya,January,2004,3
Kenya,February,2004,0
Kenya,March,2004,15
Kenya,April,2004,3
Kenya,May,2004,12
Kenya,June,2004,13
Kenya,July,2004,6
Kenya,August,2004,3
Kenya,September,2004,2
Kenya,October,2004,8
Kenya,November,2004,3
Kenya,December,2004,8
Kenya,January,2005,4
Kenya,February,2005,3
Kenya,March,2005,3
Kenya,April,2005,2
Kenya,May,2005,3
Kenya,June,2005,2
Kenya,July,2005,4
Kenya,August,2005,6
Kenya,September,2005,5
Kenya,October,2005,4
Kenya,November,2005,2
Kenya,December,2005,2
Kenya,January,2006,0
Kenya,February,2006,2
Kenya,March,2006,6
Kenya,April,2006,1
Kenya,May,2006,0
Kenya,June,2006,2
Kenya,July,2006,9
Kenya,August,2006,8
Kenya,September,2006,2
Kenya,October,2006,6
Kenya,November,2006,0
Kenya,December,2006,8
